PathwayPoint,POINT_X,POINT_Y
1,51.50625605,25.41216831
2,51.50625552,25.41217069
3,51.506255,25.41217308
4,51.50625448,25.41217547
5,51.50625395,25.41217786
6,51.50625343,25.41218025
7,51.50625291,25.41218263
8,51.50625238,25.41218502
9,51.50625186,25.41218741
10,51.50625134,25.4121898
11,51.50625082,25.41219218
12,51.50625029,25.41219457
13,51.50624977,25.41219696
14,51.50624925,25.41219935
15,51.50624872,25.41220174
16,51.5062482,25.41220412
17,51.50624768,25.41220651
18,51.50624715,25.4122089
19,51.50624663,25.41221129
20,51.50624611,25.41221368
21,51.50624558,25.41221606
22,51.50624506,25.41221845
23,51.50624454,25.41222084
24,51.50624401,25.41222323
25,51.50624349,25.41222562
26,51.50624297,25.412228
27,51.50624244,25.41223039
28,51.50624192,25.41223278
29,51.5062414,25.41223517
30,51.50624088,25.41223755
31,51.50624035,25.41223994
32,51.50623983,25.41224233
33,51.50623931,25.41224472
34,51.50623878,25.41224711
35,51.50623826,25.41224949
36,51.50623774,25.41225188
37,51.50623721,25.41225427
38,51.50623669,25.41225666
39,51.50623617,25.41225905
40,51.50623603,25.41225966
41,51.50625605,25.41216831
42,51.50625869,25.41216878
43,51.50626133,25.41216925
44,51.50626398,25.41216972
45,51.50626662,25.4121702
46,51.50626926,25.41217067
47,51.50627191,25.41217114
48,51.50627455,25.41217161
49,51.50627719,25.41217209
50,51.50627984,25.41217256
51,51.50628248,25.41217303
52,51.50628513,25.4121735
53,51.50628777,25.41217398
54,51.50629041,25.41217445
55,51.50629306,25.41217492
56,51.5062957,25.41217539
57,51.50629834,25.41217587
58,51.50630099,25.41217634
59,51.50630363,25.41217681
60,51.50630628,25.41217728
61,51.50630892,25.41217776
62,51.50631156,25.41217823
63,51.50631421,25.4121787
64,51.50631685,25.41217917
65,51.50631949,25.41217965
66,51.50632214,25.41218012
67,51.50632478,25.41218059
68,51.50632743,25.41218106
69,51.50633007,25.41218154
70,51.50633271,25.41218201
71,51.50633536,25.41218248
72,51.506338,25.41218295
73,51.50634064,25.41218343
74,51.50634329,25.4121839
75,51.50634593,25.41218437
76,51.50634858,25.41218484
77,51.50635122,25.41218532
78,51.50635386,25.41218579
79,51.50635651,25.41218626
80,51.50635915,25.41218673
81,51.50636179,25.41218721
82,51.50636444,25.41218768
83,51.50636708,25.41218815
84,51.50636972,25.41218862
85,51.50637237,25.4121891
86,51.50637501,25.41218957
87,51.50637766,25.41219004
88,51.5063803,25.41219051
89,51.50638294,25.41219099
90,51.50638559,25.41219146
91,51.50638823,25.41219193
92,51.50639087,25.4121924
93,51.50639352,25.41219288
94,51.50639616,25.41219335
95,51.50639881,25.41219382
96,51.50640145,25.41219429
97,51.50640409,25.41219477
98,51.50640674,25.41219524
99,51.50640938,25.41219571
100,51.50641159,25.41219645
101,51.50641106,25.41219884
102,51.50641054,25.41220122
103,51.50641002,25.41220361
104,51.50640949,25.412206
105,51.50640897,25.41220839
106,51.50640845,25.41221078
107,51.50640792,25.41221316
108,51.5064074,25.41221555
109,51.50640688,25.41221794
110,51.50640635,25.41222033
111,51.50640583,25.41222272
112,51.50640531,25.4122251
113,51.50640479,25.41222749
114,51.50640426,25.41222988
115,51.50640374,25.41223227
116,51.50640322,25.41223465
117,51.50640269,25.41223704
118,51.50640217,25.41223943
119,51.50640165,25.41224182
120,51.50640112,25.41224421
121,51.5064006,25.41224659
122,51.50640008,25.41224898
123,51.50639955,25.41225137
124,51.50639903,25.41225376
125,51.50639851,25.41225615
126,51.50639799,25.41225853
127,51.50639746,25.41226092
128,51.50639694,25.41226331
129,51.50639642,25.4122657
130,51.50639589,25.41226809
131,51.50639537,25.41227047
132,51.50639485,25.41227286
133,51.50639432,25.41227525
134,51.5063938,25.41227764
135,51.50639328,25.41228003
136,51.50639275,25.41228241
137,51.50639223,25.4122848
138,51.50639171,25.41228719
139,51.50639165,25.41228747
140,51.50623603,25.41225966
141,51.50623868,25.41226013
142,51.50624132,25.4122606
143,51.50624396,25.41226107
144,51.50624661,25.41226155
145,51.50624925,25.41226202
146,51.5062519,25.41226249
147,51.50625454,25.41226296
148,51.50625718,25.41226344
149,51.50625983,25.41226391
150,51.50626247,25.41226438
151,51.50626511,25.41226485
152,51.50626776,25.41226533
153,51.5062704,25.4122658
154,51.50627304,25.41226627
155,51.50627569,25.41226674
156,51.50627833,25.41226722
157,51.50628098,25.41226769
158,51.50628362,25.41226816
159,51.50628626,25.41226863
160,51.50628891,25.41226911
161,51.50629155,25.41226958
162,51.50629419,25.41227005
163,51.50629684,25.41227052
164,51.50629948,25.412271
165,51.50630213,25.41227147
166,51.50630477,25.41227194
167,51.50630741,25.41227241
168,51.50631006,25.41227289
169,51.5063127,25.41227336
170,51.50631534,25.41227383
171,51.50631799,25.4122743
172,51.50632063,25.41227478
173,51.50632327,25.41227525
174,51.50632592,25.41227572
175,51.50632856,25.41227619
176,51.50633121,25.41227667
177,51.50633385,25.41227714
178,51.50633649,25.41227761
179,51.50633914,25.41227808
180,51.50634178,25.41227856
181,51.50634442,25.41227903
182,51.50634707,25.4122795
183,51.50634971,25.41227997
184,51.50635236,25.41228045
185,51.506355,25.41228092
186,51.50635764,25.41228139
187,51.50636029,25.41228186
188,51.50636293,25.41228234
189,51.50636557,25.41228281
190,51.50636822,25.41228328
